title;start_time;end_time;description;exercise_title;exercise_notes;set_index;set_type;weight_kg;reps;distance_km;duration_seconds;rpe
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Incline Bench Press (Barbell);;0;normal;40;12;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Incline Bench Press (Barbell);;1;normal;40;11;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Incline Bench Press (Barbell);;2;normal;40;11;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Chest Dip;;0;normal;;12;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Chest Dip;;1;normal;;11;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Chest Dip;;2;normal;;11;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Lateral Raise (Cable);;0;normal;5;12;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Lateral Raise (Cable);;1;normal;5;12;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Lateral Raise (Cable);;2;normal;5;12;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Triceps Pushdown;;0;normal;17.5;12;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Triceps Pushdown;;1;normal;20;12;;;
Pecho-tríceps;19 Dec 2023, 15:20;19 Dec 2023, 16:47;;Triceps Pushdown;;2;normal;20;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Pull Up;;0;normal;;8;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Pull Up;;1;normal;;7;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Pull Up;;2;normal;;6;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Chin Up;;0;normal;;6;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Chin Up;;1;normal;;4;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Chin Up;;2;normal;;4;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Lat Pulldown (Cable);;0;normal;50;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Lat Pulldown (Cable);;1;normal;50;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Lat Pulldown (Cable);;2;normal;50;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Chin Ups (Cable);;0;normal;55;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Chin Ups (Cable);;1;normal;55;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Chin Ups (Cable);;2;normal;;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Seated Cable Row - Bar Grip;;0;normal;40;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Seated Cable Row - Bar Grip;;1;normal;40;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Seated Cable Row - Bar Grip;;2;normal;40;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Bicep Curl (Dumbbell);;0;normal;8;12;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Bicep Curl (Dumbbell);;1;normal;8;10;;;
Espalda-Bíceps;18 Dec 2023, 15:45;18 Dec 2023, 17:04;;Bicep Curl (Dumbbell);;2;normal;8;10;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Bench Press (Barbell);;0;normal;50;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Bench Press (Barbell);;1;normal;55;10;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Bench Press (Barbell);;2;normal;55;9;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Incline Bench Press (Barbell);;0;normal;40;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Incline Bench Press (Barbell);;1;normal;40;11;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Incline Bench Press (Barbell);;2;normal;40;11;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Cable Fly Crossovers;;0;normal;10;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Cable Fly Crossovers;;1;normal;10;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Cable Fly Crossovers;;2;normal;10;10;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Chest Dip;;0;normal;;10;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Chest Dip;;1;normal;;10;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Seated Shoulder Press (Machine);;0;normal;40;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Seated Shoulder Press (Machine);;1;normal;35;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Seated Shoulder Press (Machine);;2;normal;35;10;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Lateral Raise (Cable);;0;normal;5;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Lateral Raise (Cable);;1;normal;5;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Lateral Raise (Cable);;2;normal;5;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Triceps Pushdown;;0;normal;17.5;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Triceps Pushdown;;1;normal;17.5;12;;;
Pecho-tríceps;15 Dec 2023, 11:21;15 Dec 2023, 12:36;;Triceps Pushdown;;2;normal;17.5;12;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Pull Up;;0;normal;;7;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Pull Up;;1;normal;;6;;;
Espalda-Bíceps;12 Dec 2023, 11:10;12 Dec 2023, 12:38;;Chin Up;;0;normal;;7;;;
